Target UniProt ID,Ligand ID,Label
P34972,drug68716,1
P47871,drug22122,1
P34972,drug891,1
Q14832,drug67810,1
Q9UNW8,drug47009,0
P31422,drug4719,0
Q96LA9,drug50731,1
P34972,drug25299,1
P34969,drug70693,1
Q96RI0,drug28866,1
P34972,drug32071,1
P28223,drug18911,1
P10980,drug61138,0
Q5QD14,drug39340,0
P21728,drug24858,1
Q13304,drug68792,0
Q9GZQ6,drug62657,0
Q9UP38,drug58856,1
Q6R6I6,drug9529,0
P25090,drug8174,1
P18901,drug40345,0
Q8TDV5,drug45391,1
P50406,drug58193,1
P30554,drug59410,0
P08911,drug65421,0
P41143,drug4549,1
Q9NSD7,drug33376,0
P59540,drug9647,0
P49683,drug54256,0
P29371,drug27755,0
P32245,drug41767,0
P34975,drug53119,0
P25103,drug993,0
P51685,drug31069,0
P26684,drug5972,0
Q9Y5N1,drug65638,1
P08908,drug16556,1
Q9HBX9,drug14998,1
P18090,drug71104,0
Q9HBX9,drug52165,1
P23945,drug9008,0
Q5QD16,drug35583,0
Q96LB1,drug45279,0
O60755,drug22283,1
Q14332,drug22927,0
P30966,drug66340,0
Q9Y271,drug30384,0
Q13304,drug44204,0
O43613,drug56636,1
P28222,drug31806,0
P51680,drug55683,0
O14842,drug16972,0
P11229,drug68580,0
P97583,drug25757,1
P59541,drug14834,0
P28336,drug29154,0
P48039,drug68755,0
P35346,drug20647,0
P30936,drug190,0
Q9NYW6,drug38064,0
Q03431,drug70339,1
Q03431,drug1325,1
P47872,drug61957,0
O35659,drug48087,0
Q96LA9,drug49310,0
Q9NYW1,drug40438,0
O43613,drug53169,1
P28564,drug41227,0
P28222,drug18508,1
P35348,drug12376,1
P08588,drug37287,0
P11229,drug54100,1
P59541,drug10775,0
P30936,drug9211,0
Q92633,drug70574,0
O60755,drug55606,0
P07550,drug4976,1
P70579,drug22373,0
P50406,drug34840,1
P29274,drug71295,1
P28221,drug12789,0
P51679,drug33516,1
Q92847,drug37394,1
Q91ZY1,drug43944,0
P08173,drug49049,1
P47937,drug39196,0
Q9Y5N1,drug44749,1
P47936,drug61826,0
P41143,drug24157,1
Q60612,drug39314,0
P14416,drug21059,0
P21451,drug47111,0
P32247,drug1856,0
Q14330,drug53215,0
P43140,drug12494,1
P18901,drug16736,0
Q96P68,drug24961,0
P41180,drug1809,1
P33032,drug60290,1
P35372,drug64208,1
Q9HBX9,drug69905,1
P18089,drug7880,0
Q9NPC1,drug40140,0
P59540,drug20715,0
O08790,drug20470,0
O43614,drug4064,1
Q96P68,drug27066,0
Q92847,drug8751,1
O35659,drug23530,0
O08530,drug45762,0
P30989,drug4784,0
P48039,drug30890,1
Q9BY21,drug20409,0
Q14833,drug9432,1
P14416,drug61294,0
Q9Y5Y4,drug57289,1
O95136,drug431,1
Q8TDS7,drug66421,0
Q9ERC0,drug46950,0
P32245,drug676,1
P32248,drug33110,0
P35372,drug64382,1
Q63371,drug70196,0
P08908,drug46653,1
Q9HBX9,drug32473,1
Q8TDS5,drug46991,0
P25101,drug16604,1
P08588,drug4976,1
P70596,drug44810,0
P25116,drug59022,1
Q9NYW2,drug40007,0
Q96P65,drug66467,0
Q9HBX9,drug45360,1
Q9H244,drug61005,1
P41595,drug33873,1
P24053,drug59237,0
O08726,drug13742,0
P51686,drug47409,1
P35408,drug48112,0
P30556,drug31555,1
P07550,drug14641,1
Q9JJL9,drug16927,0
Q9Y5N1,drug7050,1
P41594,drug35739,1
Q9Y271,drug52087,1
P31424,drug56377,0
O88854,drug8287,0
P22909,drug15308,0
P33766,drug17268,0
P30542,drug48560,1
Q9ESG6,drug46757,0
P43116,drug35706,1
P30872,drug64604,0
Q9HBX9,drug46412,1
P07550,drug18258,1
P08911,drug47655,0
P21731,drug56156,1
Q99500,drug17770,1
P22888,drug59501,0
Q13639,drug43047,1
P34972,drug68898,1
P13945,drug42703,1
P21453,drug49903,1
P41180,drug11982,0
Q80SS6,drug39065,0
P32246,drug65713,0
Q9JJL9,drug29614,0
P18825,drug35848,1
P47746,drug43783,0
P10980,drug59007,0
O15303,drug67987,1
P25929,drug39333,0
P28335,drug54176,1
P41145,drug68894,1
Q9NYW5,drug2999,0
P30556,drug70392,1
Q9HB89,drug16222,0
P34972,drug25498,1
P43140,drug49240,0
O43614,drug27811,1
P52500,drug574,0
P41143,drug41259,1
P14416,drug2457,1
P30731,drug7843,0
Q9NQS5,drug68994,0
P55085,drug16031,1
P28565,drug57230,0
P47900,drug25905,0
P30559,drug57207,0
P97288,drug167,0
Q9BXC1,drug34837,0
Q3UVX5,drug22291,0
P51677,drug14320,1
Q92847,drug51054,1
Q14416,drug64938,1
P21729,drug71732,0
P08588,drug45303,1
Q9H1C0,drug31363,0
P35348,drug58784,1
P28221,drug30075,1
P08172,drug7177,1
P14416,drug16102,1
O43613,drug61536,1
P33766,drug28379,0
Q16602,drug43874,0
Q9Y2T6,drug69072,1
Q96RJ0,drug14521,1
P58406,drug19368,0
P18901,drug63990,0
P21451,drug13242,0
Q7RTR8,drug15485,0
P35408,drug62288,0
P30411,drug37529,1
P41594,drug62912,1
Q14416,drug36563,0
P61793,drug34565,0
P35368,drug29858,0
Q13639,drug30995,1
P49238,drug5660,0
Q9HC97,drug65913,1
Q96RI0,drug56503,0
P30550,drug15258,0
Q9HBX9,drug60336,1
P23944,drug51390,0
O14514,drug9660,0
P14600,drug36504,0
Q8K4Z6,drug41355,0
P25099,drug62718,0
P21728,drug19813,1
P47871,drug16198,1
Q9JL06,drug12864,0
P31391,drug9640,0
O14842,drug17917,1
P43119,drug19889,1
P21451,drug19031,0
P49146,drug24807,0
Q8TDS4,drug49770,1
P34980,drug66220,0
Q96RJ0,drug12727,1
P28336,drug45821,0
Q14833,drug50510,1
Q9Y5N1,drug69872,0
Q9Y2T5,drug32454,1
P35372,drug50164,1
P47871,drug30090,1
P34972,drug35204,1
Q15391,drug58171,0
Q99705,drug50472,1
P30731,drug3609,0
P34972,drug70790,1
Q9Y2T6,drug7968,0
P28335,drug39852,1
P33032,drug57518,1
P21555,drug68206,0
O08726,drug20947,0
P18090,drug1628,0
Q99500,drug51868,1
Q9NYW1,drug60768,0
O60755,drug26997,0
Q9NYV7,drug22327,1
P46089,drug56557,0
P30989,drug49911,1
O95977,drug59239,1
P21731,drug1902,1
P97288,drug20599,0
P08588,drug20259,1
O35659,drug49037,0
P35348,drug53190,1
P41145,drug34683,1
O43613,drug51207,1
Q9NYW1,drug5598,0
O43613,drug54599,1
P51681,drug53502,1
P07550,drug36311,1
Q96LB2,drug58137,0
Q9H244,drug31495,0
Q923Y9,drug33514,0
P21731,drug67188,1
Q9Y271,drug72001,1
Q8TDV5,drug3098,1
Q01726,drug33912,1
P50406,drug36561,1
O15552,drug48025,1
P32245,drug22286,1
P29371,drug45548,1
P12526,drug22598,0
