Target UniProt ID,Ligand ID,Label
P35348,drug11360,0
Q969F8,drug49846,0
P14842,drug24486,0
P32247,drug68791,0
P61073,drug60571,0
Q9H3N8,drug44893,1
P29275,drug26512,1
O60755,drug63434,0
P21555,drug396,0
P51685,drug67237,0
P43119,drug65985,0
P0DMS8,drug61939,1
Q96P68,drug34271,0
P61073,drug65375,1
Q00788,drug57536,0
Q9NYW5,drug63538,0
Q8TDS4,drug16667,1
Q02643,drug1376,0
Q9Y2T6,drug21281,0
P25116,drug52714,0
P35368,drug48094,0
Q14833,drug68445,1
Q9H228,drug45778,0
Q02284,drug8772,0
Q9HBX9,drug40988,1
P30939,drug45156,0
Q5T6X5,drug3011,0
P35353,drug25532,0
P46095,drug60472,1
P25025,drug49508,0
P61073,drug22728,1
P49682,drug42452,1
P49146,drug70592,1
P61073,drug23389,1
P35372,drug32270,1
Q9Y2T6,drug48026,1
O88536,drug47761,0
P43219,drug66298,0
P49651,drug43094,0
P33533,drug69627,0
Q9H255,drug67655,0
O60755,drug47459,1
Q9NQS5,drug55462,1
Q9Y271,drug47863,0
P28223,drug56694,1
P32245,drug1319,1
Q9Z2J6,drug26704,0
Q9Z2J6,drug55579,0
O43613,drug11472,1
Q9HBX9,drug17163,1
P30875,drug50917,0
Q9HBX9,drug70634,1
Q01726,drug66649,1
O00222,drug35918,0
P51684,drug52864,0
P14416,drug54394,1
P28221,drug18982,1
P25103,drug59715,0
P48145,drug44737,0
P21918,drug30423,0
O14514,drug57330,0
P30874,drug62607,1
P0DMS8,drug20271,1
Q9Y2T6,drug47150,0
Q9NYW7,drug36284,0
P35408,drug41632,0
P31421,drug61562,0
P31424,drug32553,1
P10980,drug31131,0
P08908,drug28137,1
Q96LB1,drug40039,1
P51685,drug31879,1
P30937,drug64743,0
Q9HBX9,drug27998,1
Q91ZY1,drug49368,0
Q15722,drug4380,0
P41180,drug8446,1
Q9HBW0,drug36152,0
O43613,drug49156,1
P43220,drug43236,1
Q969F8,drug31661,0
P41597,drug6345,1
O43603,drug7750,0
P29274,drug14164,1
P32305,drug72322,0
P41594,drug8449,1
P30875,drug64606,0
P14416,drug32485,1
O35881,drug63328,0
P07550,drug70915,1
P41597,drug7076,0
Q9HBX9,drug21778,1
Q9Y5N1,drug21325,1
O14842,drug610,1
P10980,drug6616,0
P59536,drug16282,0
P28223,drug18981,1
Q96P68,drug44533,0
P59542,drug63424,0
P10980,drug15622,0
Q14832,drug66500,0
Q99705,drug69961,1
Q96G91,drug57543,0
O95838,drug12024,1
P30557,drug52563,0
P52500,drug66707,0
P25089,drug53506,0
Q9Y2T6,drug1074,1
Q33BM1,drug16388,0
Q14833,drug43730,1
Q99500,drug21688,0
P35372,drug25456,1
P28647,drug47926,1
P41594,drug3860,1
P29274,drug59144,1
Q2AC31,drug31783,0
P25089,drug18292,0
P18090,drug10830,0
P46095,drug43849,1
P35372,drug10934,0
Q96LB2,drug1003,0
P29275,drug46226,0
Q9Y2T5,drug3227,1
O35659,drug67512,0
P32249,drug29309,1
O43613,drug6736,1
Q8TDS4,drug51149,1
P41180,drug62671,1
P32239,drug40929,0
Q60613,drug25906,0
P49019,drug45249,0
Q9HBX9,drug21997,1
P28335,drug28631,1
O43614,drug38088,0
Q9Y271,drug62371,1
Q63384,drug19697,0
P29275,drug68490,1
P29275,drug36386,1
P51582,drug20094,1
Q00788,drug17615,0
P34972,drug19287,1
Q86Y34,drug53665,0
Q9Y5X5,drug60778,1
P24053,drug12431,0
Q60612,drug16993,0
Q9BXA5,drug37915,0
Q99500,drug64652,1
P08908,drug41561,1
Q96RJ0,drug63001,1
Q924T9,drug22393,0
P28222,drug20728,0
Q9Y5Y4,drug44767,0
P30872,drug71685,1
P41968,drug35596,1
Q8TDU9,drug40855,0
Q9Y271,drug24527,0
P28647,drug37412,0
P25105,drug40254,1
P31423,drug22675,0
P21554,drug14587,0
P41180,drug29972,1
P28223,drug38126,1
Q96RI0,drug12416,1
P46095,drug9086,1
P51686,drug41254,1
P49146,drug9928,1
P49146,drug40587,1
Q04573,drug70377,0
P30680,drug34852,0
P30559,drug55969,1
P51683,drug59685,0
Q14833,drug67889,1
P41143,drug65970,1
Q96P65,drug54265,0
P59537,drug33629,1
P13945,drug40600,0
Q96P65,drug54260,0
O60353,drug50695,0
P46095,drug8486,1
P31422,drug41502,1
Q96RJ0,drug45428,1
P30938,drug5340,1
P43253,drug52004,0
Q9Y2T6,drug51870,1
Q9UBY5,drug41955,0
P43088,drug53715,0
Q01726,drug1662,1
Q8TDS4,drug9487,1
O14842,drug53376,1
Q9ULV1,drug43571,0
Q9HBW0,drug32037,1
O35659,drug18041,0
Q9NYW0,drug67702,0
P14842,drug12138,0
P47871,drug67678,1
Q9HBX9,drug10959,1
P30557,drug36510,0
P14416,drug15424,1
Q9H244,drug52959,1
Q99705,drug6956,1
O43614,drug24507,1
Q8VIH9,drug50730,0
P32249,drug60698,0
P41595,drug46942,1
Q96P68,drug18728,0
O95838,drug1788,0
O14514,drug19941,0
Q62035,drug9868,0
P32246,drug56003,0
P21453,drug41930,1
Q96LA9,drug29365,1
O60755,drug19911,1
Q15391,drug45601,1
P08172,drug6920,0
P61073,drug14273,1
P21730,drug10901,0
P34972,drug18425,1
P46663,drug30655,0
P41594,drug64915,1
P25106,drug316,1
P46663,drug55810,1
P97288,drug23849,1
P35368,drug3139,1
O43614,drug39329,1
P43088,drug60384,1
P30936,drug7403,0
P55085,drug26048,0
Q15391,drug34925,0
P35462,drug22439,0
P46663,drug59205,0
Q13255,drug38922,1
Q9UKP6,drug32799,1
Q62928,drug52894,0
P30875,drug42647,0
P46093,drug18506,0
P70263,drug1843,0
Q99705,drug46689,1
Q5QD16,drug17664,0
Q00788,drug43302,0
P34972,drug17420,1
Q60614,drug61703,0
P37288,drug42203,1
P59540,drug19125,0
P29274,drug71908,1
P25116,drug14845,1
O43613,drug42944,1
Q14330,drug14483,0
P41597,drug32151,1
P28223,drug46268,1
P34972,drug68681,1
Q64326,drug31184,0
Q9ERZ4,drug24193,0
Q9HBX9,drug41112,1
Q6NS65,drug53817,0
P21453,drug37780,1
Q9NQS5,drug55540,1
P07550,drug30996,1
P41145,drug31347,1
P41145,drug23376,1
P52592,drug1056,0
Q9H244,drug63830,1
Q9UBY5,drug25861,0
P30936,drug34561,0
P14416,drug49014,1
P47900,drug27903,1
Q9GZQ6,drug38167,0
P41597,drug6387,1
P32745,drug11932,0
Q60614,drug45243,0
P32238,drug7728,0
Q5QD15,drug27031,0
Q9UBY5,drug23297,0
P43114,drug30421,0
O14842,drug32310,1
P25100,drug31010,0
Q02643,drug29580,0
Q9NYV9,drug15929,0
Q9NYW0,drug29019,0
Q96G91,drug14608,0
P35372,drug56369,1
Q9H255,drug45005,0
Q9ERC0,drug43620,0
Q9BXA5,drug69442,0
P59540,drug47697,0
P30937,drug22922,0
P08173,drug29464,1
Q96P65,drug1447,1
Q9BZJ8,drug19124,0
Q9NYW2,drug71200,1
O14514,drug23621,0
P51686,drug8215,1
P29274,drug50563,1
O43603,drug39743,0
Q9H244,drug41966,1
Q7TN41,drug72520,0
P28223,drug31573,1
P25090,drug12617,1
P25090,drug11978,1
Q9Y2T6,drug61618,1
P28221,drug480,1
P41145,drug60516,1
Q923Y8,drug37897,0
Q923Y8,drug67927,0
Q99705,drug15903,1
O95977,drug61174,1
P30554,drug43989,0
Q92847,drug4315,1
O43613,drug20046,1
Q9HBX9,drug4386,1
P41597,drug48363,1
P14416,drug53852,1
P21730,drug35683,0
Q9NPC1,drug28379,0
Q9NYW2,drug38439,0
Q9JKM5,drug38065,0
Q91X56,drug68509,0
Q8CIQ6,drug62337,0
Q9NQS5,drug36097,1
P32302,drug35193,0
P35414,drug57729,1
P07550,drug33681,1
Q9GZN0,drug3178,0
P35000,drug5043,0
P30553,drug60100,0
P32245,drug48975,1
Q96LA9,drug37142,1
P28223,drug69903,1
Q14330,drug25565,0
P41145,drug51807,1
Q92847,drug43322,0
P33533,drug36958,0
P10980,drug6921,0
Q99788,drug46999,1
Q99705,drug616,0
P30874,drug64681,0
P30556,drug56226,1
P41587,drug10913,0
Q96RI0,drug51012,1
P30550,drug50624,0
Q63371,drug34675,0
P14600,drug2856,0
Q9UBY5,drug69194,0
P30559,drug15177,1
P34972,drug60736,1
Q01726,drug21952,1
P35372,drug3084,1
Q76EI6,drug21389,0
O60755,drug41919,0
Q9HBX9,drug28344,1
P34972,drug15163,1
P35462,drug19425,0
Q8BLG2,drug39267,0
Q96RI0,drug71660,1
O35659,drug36044,0
P29275,drug11443,1
P51684,drug65391,1
Q86Y34,drug53013,0
P35375,drug35075,0
Q9NYW4,drug1948,0
Q9GZN0,drug57266,1
P34980,drug58834,0
O43193,drug39644,1
P49682,drug30004,0
Q9NS75,drug14793,1
P41145,drug64781,1
P35400,drug13128,0
P30557,drug38171,0
Q13324,drug69945,0
Q92847,drug38008,1
P11229,drug25685,1
P52500,drug31168,0
P35372,drug59278,1
P30935,drug33290,1
Q91ZY1,drug45193,0
P28223,drug26874,0
Q9HBX9,drug40699,1
Q9HBX9,drug33218,1
P42866,drug14449,0
Q15077,drug43451,1
P21453,drug57818,1
P08588,drug4926,1
P41597,drug20559,1
Q9H228,drug71263,1
Q9Z0W0,drug63818,0
Q15743,drug18642,0
P30938,drug5567,0
P47871,drug69122,0
P25116,drug38027,0
P29275,drug27205,1
O08565,drug45744,0
Q92847,drug48845,1
Q9HBX9,drug36985,1
O60353,drug53510,0
Q9BZJ6,drug64512,0
P08172,drug63441,1
O43614,drug23064,1
O08556,drug68316,0
P08908,drug66884,0
P29274,drug16193,1
P16610,drug67480,0
Q9GZN0,drug60069,0
P30968,drug30850,0
P43220,drug60999,1
P28565,drug30394,0
P30968,drug63281,1
P43253,drug50727,0
P35372,drug33508,1
Q8TDS4,drug69468,1
P30560,drug43054,0
Q16581,drug64389,1
P0DMS8,drug64614,1
P32305,drug52126,0
P35462,drug70686,0
P37288,drug21745,1
P11229,drug30235,0
P49682,drug22131,1
P28221,drug70822,1
P58307,drug70043,0
P35364,drug69431,0
P49019,drug3054,1
Q9H228,drug23043,1
P11229,drug60662,1
P13945,drug8184,1
P08912,drug48519,0
P49683,drug51454,0
P30968,drug54254,1
Q8TCW9,drug13275,0
Q13324,drug52478,0
P56481,drug50750,0
Q5NUL3,drug40703,0
P07550,drug5544,1
Q9HBX9,drug57502,1
Q01718,drug63013,0
Q8TDU6,drug67925,0
P46089,drug44879,0
P49683,drug55859,0
P11229,drug60988,1
P21453,drug4447,1
Q13255,drug61429,1
O15552,drug9294,1
Q99705,drug52768,1
Q92847,drug5181,1
O75388,drug29590,0
Q96RJ0,drug21251,0
P08172,drug42571,1
Q9ESG6,drug47093,0
P41595,drug1658,1
Q9UBY5,drug24499,1
P32301,drug72485,0
Q9GZQ6,drug19311,0
Q92847,drug23668,0
Q63371,drug32774,0
P30542,drug70509,1
P21729,drug39273,0
P48145,drug19167,1
P35414,drug58237,0
